PID,age,art_experience,art_time_spent,clear_instructions,dominant_hand,fluency,gender,native_language,strategy_FD,strategy_deliberation,strategy_interference,strategy_unchosen,Exp
JezMo,31,Artist,2,no,Right,4,Female,Yes,"I chose the paintings that made good use of lighting, had intricate details, and pleasant brush strokes",The one that looked the best is the one I chose usually,I tried to remember what types of paintings usually made a profit,"I didnt remember if it was in the first auction or not, I tried to remember who it was paired with. If I couldn't I tried to just guess.",Exp1
Jq873,30,Enthusiast,1,no everything was clear.,Right,4,Female,Yes,Just what made me feel good about the painting. It's all about how the painting makes you feel.,What just caught my attention the colors and how the painting made me feel.,Just which painting stood out the most.,What caught my attention.,Exp1
Jt02R,28,Novice,1,I think it was all quite clear.,Right,4,Male,Yes,"I chose the paintings I knew earned money, and I tried to remember the paintings that were opposite of the ones that didn't make money, and chose those instead when they came up.","I simply chose the ones I liked more, and thought would sell based on the reasons I explained in that section.","My strategy was mostly the same. Stick with the ones I liked and knew were good, and go for the others if I knew a painting wasn't good.","When they were paired against a painting I knew made money, I'd avoid choosing them. When they were paired against a painting that lost money, I chose them. When I wasn't sure, I just made my best judgement based on all my prior experiences.",Exp1
KOQfg,27,Enthusiast,2,no,Right,4,Female,Yes,i tried to remember which paintings did well int eh first round based off of color or expression and then see what theyy were paired with and assumed what they were paired with would have the opposite outcome ,what i preferred more and what i thought would be more relatable subject matter ,i tried to remember what did well in the first auction ,based off of the colors or the genders of the subjects or look of the paintings that did or didn't have a good outcome ,Exp1
LBPHd,34,Enthusiast,5,"No, it was all very clear and well explained.",Right,4,Male,Yes,No real strategy. Just went by my instinct and feelings.,"No, just went with what I responded to personally.","No specific strategy, just an instinctual thing.",Just made the best guess I could under the circumstances. More of a gut feeling than anything.,Exp1
LCVO7,22,Novice,0,All of the instructions were very clear. ,Right,4,Female,Yes,I did not use any particular strategy. I just chose what felt right. ,I tried my best to guess what other people would enjoy. I utilized my own feelings in that decision. ,"I tried to choose some of the paintings I had previously not chosen, but only a few. Apart from that, I did not have a strategy.",I chose which one I felt was right. There was no strategy to it. Just my best guess. ,Exp1
LMwH9,31,Novice,0,no,Right,4,Male,Yes,nothing in particular- just tried to be consistent,just picked which i preferred,just tried to use memory and be consistent,based on if other similar paintings were profitable,Exp1
LegoS,21,Enthusiast,1,no,Left,4,Female,Yes,what caught my eye first,What caught my eye,no,Based on my memory and instinct,Exp1
LyYsn,33,Enthusiast,0,No,Left,4,Female,Yes,No- just memory of what earned highest bids,Just personal preference,Memory,Which looked more difficult to paint,Exp1
M2Acg,35,Novice,1,No,Right,4,Male,Yes,I did not.,No,No,I simply chose the paintings I found most appealing to me.,Exp1
MJ2Dl,28,Novice,1,No,Left,4,Male,Yes,"Not really, no.",I had no strategy I just chose the ones that stood out the most.,Same as the first auction.,I tried to remember the pairs that I knew and the other pairs I kind of took guesses,Exp1
NCUc3,23,Enthusiast,3,No,Right,4,Female,Yes,I automatically picked the paintings I knew had gain,I considered what other people would like sometimes,Picked paintings similar to first auction,I tried to compare the painting to other paintings I knew had gain,Exp1
NEOFV,23,Novice,1,no,Left,4,Female,Yes,I just tried to use my instincts.,no,no,"I again went by instinct, what first came to mind.",Exp1
NN6WW,33,Artist,10,No. all clear. ,Right,4,Female,Yes,I remember what seems to be popular with buyers from my experience. ,I choose based on how \fancy\ it looked. ,I remembered what paintings and their types that would do well. ,I choose the ones with brighter colors since those seemed to have more gains. ,Exp1
O9Udf,31,Artist,5,nope,Right,4,Female,Yes,not really,nope,nope,based on if i liked it or not,Exp1
O9fcD,32,Enthusiast,2,no,Right,4,Female,Yes,I decided based on facial features and color contrasting.,I went by the colors.,I also went by the colors.,I chose the one that popped out more.,Exp1
OC1em,33,Novice,1,no,Right,4,Male,Yes,used what i learned so far from the previous rounds to choose which painting is profitable,no,no,guessed,Exp1
OH09Y,22,Novice,3,"At some point I didn't understand the up and down arrow part, but I quickly understood why I needed to do it.",Right,4,Male,Yes,I tried to remember the facial expressions as well as the main colors.,"I really tried to understand what people look for in paintings at a possible auction. Typically I tried to justify why a painting would make a big outcome, but that doesn't always matter.",I just tried to remember what I learned before.,I just tried to remember as best as I could between all of the pairs.,Exp1
OKm0o,33,Enthusiast,1,no,Right,4,Female,Yes,comparison of paintings,no,no,guess,Exp1
OM9WN,35,Novice,1,no,Right,4,Female,Yes,"The ones that personally spoke to me ,first instinct.","When I chose one multiple times it and not another, it would ask me wgy.","It would put ones I chose against each other and then my rejections against each other. (I think) Either way, I chose which one made me form a personal tie in some way or that I would hang in my house/work.","Whatever one personally spoke to me, caused the most emotional feeling/reaction.",Exp1
ONNQt,27,Enthusiast,4,No,Right,4,Male,Yes,Tried to go more for stylization and colorful paintings because those types of paintings would be more likely to be noticed and therefore be purchased.,It was mostly just personal preference,I thought a little more about what people would be looking for and picked in that regard.,"I chose mostly whichever one seemed more likely to be able to be sold to other people, that mainly manifests as personal preference, but I like to think that I have a good grasp on what people are looking for in a painting to buy for their home.",Exp1
OTcep,30,Enthusiast,3,no,Right,4,Female,Yes,determined what art had the most skill detail and emotion,skill and detail of the work,no,most detail skill and emotion,Exp1
POLFT,32,Enthusiast,2,I didn't understand why I was forced to use the keyboard keys.,Right,4,Female,Yes,I thought about the paintings more what somebody would like rather than which one I enjoy.,I based it off the skill of the painting and the importance of the subject.,I used my previous choices and picked which ones would appeal the larger population.,I decided based off which pair the winner was in and assumed they lost the auction from there.,Exp1
PQp43,30,Novice,1,none,Right,4,Male,Yes,None,I chose the paintings I preferred overall.,Same decision of just picking the one I liked more,I assumed that they wouldn't be worth anymore than the choices I preferred.,Exp1
PT4di,35,Artist,4,no,Right,4,Female,Yes,none,"I didn't really have one, just went with my gut",no,I decided based on how similar they looked to previous paintings that were sold,Exp1
QS6kW,33,Artist,3,no,Left,4,Female,Yes,The ones I could not remember I went with ones I didn't care for or had more detail,no i went mostly off of what I liked,yes I went more what I thought rich people would like,I tried to remember what it was paired with and did the opposite of the one it was paired with,Exp1
QoTqf,33,Novice,1,no,Left,4,Male,Yes,No just picked what I preferred ,no,tried to pick ones similar to what gained in the first phase ,went with my gut ,Exp1
R6nO9,31,Enthusiast,6,"No, everything was clear.\n",Right,4,Male,Yes,"NO, I made the decision with the feelings I had for the pictures.","No, I followed instructions and did it.","No, I made sure that my decision relied on the expression on the pictures.",I refreshed my mind and recalled the feelings each painting created on my mind. ,Exp1
RA5gZ,29,Novice,1,"No, everything was straight forward.",Right,4,Female,Yes,I did not.,No,No,I just went with my gut.,Exp1
RBAZx,30,Artist,7,No.,Right,4,Male,Yes,"Not really, only my gut instinct about it. ","No, only isntinct.","Not really, no, instinct mostly.","I adjusted to what I thought was better than the ones I had seen before, or vice versa.",Exp1
RI0IK,30,Artist,5,no,Right,4,Female,Yes,I tried to use my own expertise of art and the education I have in it to make my choices. ,I used my own knowledge of art history,I used the same thinking as I did in the 1st auction,I made an educated guess,Exp1
RLJAU,23,Enthusiast,3,Nope,Right,4,Female,Yes,Nope!,Just chose the ones I liked,Nope,I thought about their pairs and chose the opposite of the pair's outcome.,Exp1
Rb6KA,28,Novice,1,no,Right,4,Female,Yes,n/a,no,no,n/a,Exp1
RqzW1,35,Enthusiast,5,The part where I had to select the recombine painting was not very clear. ,Right,4,Female,Yes,I tried to follow my instinct and what would be more appealing to most people.,"No, just selected the ones I found more appealing",Tried to select what I though was more appealing for most people,"Sometimes by deduction, by trying to remember the other painting, and following my instincts",Exp1
RweSp,19,Novice,2,no,Right,4,Male,Yes,Nah not really just went off what I liked the best.,no,no,Based off whatever painting I liked more.,Exp1
S5Qxu,21,Artist,1,No,Right,4,Male,Yes,"I remembered which paintings I knew had sold for a profit, and did my best to remember which ones had sold for no profit. If I knew one had sold for a profit I always selected it. If I was fairly confident one had sold for no profit, I always chose the other painting in the set. If I wasn't sure, I guessed based on patterns in the ones that sold for profit (apparent age, style, etc)",Which ones I liked more and thought other people would like also.,"Same as the first auction, but with some preference towards paintings I selected in the first auction.","Patterns I noticed in the paintings whose auction outcomes I did see. Apparent age, style, etc.",Exp1
S5iGs,35,Novice,0,NO,Right,4,Female,Yes,I TRIED TO REMEMBER THE OUTCOME,NO,NO,"IF I HAD A WINNING PAINTING IN A PAIR, I WOULD CHOOSE IT",Exp1
S80Fo,26,Enthusiast,1,No.,Right,4,Male,Yes,No.,No.,No.,Based on aesthetics/personal taste.,Exp1
SPlAj,33,Novice,2,Everything was very clear and easy to follow and understand.,Right,4,Female,Yes,I mainly just tried to pick the painting that I personally liked better. Or if a painting made me feel a certain way. Sometimes I chose paintings that I felt I connected with or understood what they were feeling.,I chose the one I liked better or the one that I thought had more meaning.,"I used the same previous strategy of picking the one I liked better, but then also trying to remember what went for a gain in the previous round.",I chose the one that I liked better and the ones that stood out to me as being more intriguing. ,Exp1
SvCvL,23,Novice,0,No,Right,4,Female,Yes,No,I picked paintings I personally liked more.,No,I tried to remember if I had made a similar decision before.,Exp1
T9JAq,31,Enthusiast,4,,Right,4,Female,Yes,I tried to associated the paintings with words I know I would remember.,,,I tried my best to look at them side by side to see if they look even slightly familiar to me and deciding the one i liked the most.,Exp1
TBVkV,31,Enthusiast,1,No.,Right,4,Female,Yes,No,"No, I went off of my gut feeling and initial thoughts. ",No.,Based on the gain/no gain of similar works.,Exp1
THF1C,30,Novice,1,No,Left,4,Male,Yes,"I used what I knew already about which paintings were profitable and which weren't, and deduced things about paintings that I was unsure about.","Not really, I just went with what I enjoyed more","I thought more deeply about the choices I made in the first auction, and tried to apply more thought about what other people might like",I just picked which one I liked better,Exp1
THSiI,32,Novice,1,Not really.,Right,4,Female,Yes,"I mostly just tried to remember which paintings, and the pairings, I picked in the first round and if they had a gain or not. ",I picked the one that I liked most. ,I tried to remember what I picked first the first auction and if it had a gain or not. ,I went with the one that was visually appealing to me most of the time. ,Exp1
TL9EK,28,Novice,4,No,Right,4,Female,Yes,I tended to pick the ones that my eyes were drawn to first,I just went with my gut feeling,I tended to pick the ones I knew sold from the first auction,I chose the one that was the brightest or most realistic,Exp1
U3akT,32,Novice,1,Instructions were very clear and easy to understand. ,Right,4,Female,Yes,I tried to pick the painting I thought most people would like the most verses just the one I prefer. ,In the first auction I went with the painting I preferred. I wish I would have picked the ones I thought the majority of people would have liked. ,I changed my strategy to one where I chose the one I thought the majority of people would like.  ,I honestly just guessed and tried to pick the one that the majority of people would have picked. ,Exp1
USape,29,Novice,0,"No, it was pretty clear.",Right,4,Female,Yes,No strategy. Just tried to remember what paintings were being displayed. ,I just went with the paintings I liked the best.,No strategy. Just went with paintings I liked.,I just guessed. I could not remember any of the actual pairs since there were so many in this study.,Exp1
UiTO9,30,Enthusiast,20,no,Right,4,Male,Yes,no,no,no,I guessed,Exp1
V2T2h,35,Novice,3,No,Right,4,Female,Yes,No strategy. ,"I just went by gut feelings, paintings are supposed to bring up emotional responses. So I went with the one that gave me the bigger emotional response.","Not really, I was just trying to go off of memory of which ones made gains in the first auction.",If the one that was paired with them that made a gain I chose the one that made the gain. If the one in the previous one did not make a gain then I chose the other.,Exp1
V86AX,21,Artist,5,none,Right,4,Male,Yes,none,what i liked more,none,what i liked,Exp1
VIY45,35,Novice,1,Yes. The pairing of the panting's that seemed very unclear.,Right,4,Female,Yes,Yes. I remembered the faces and the fact that they didn't match up to the gain or no profit.,Colors were a big factor in remembering things.,Same strategy remembering colors.,I tried my best to decide. How could I know if something wasn't shown to me?,Exp1
VNNqO,24,Enthusiast,5,No,Right,4,Male,Yes,No,I chose the one that looked more interesting.,I chose the one that was more interesting.,I chose the one that \popped\ more.,Exp1
VXK7z,34,Novice,1,No but to be honest I'm having a bit of a rough day due to a severely sick pet and probably could have benefited from reading them a little closer. I'm trying really hard to not let it affect me.,Right,4,Male,Yes,"Nothing in particular. To be honest, in the earlier phase where the gain/no gain were revealed, I wasn't paying particularly close attention to which ones were gains and which ones were not, which probably led to several wrong choices in the following phase.",Nothing in particular. I mostly chose whichever one I personally liked more.,Same as with the first.,I generally just went with the one that I remember being shown outcomes for.,Exp1
VZ0MJ,33,Novice,0,No,Right,4,Male,Yes,No,No real strategy,No,I just tried to guess really.,Exp1
VjIYt,35,Novice,1,no,Right,4,Male,Yes,I named each painting from the start based on what it looked like,"based on which ones has less questions, seemed like they would be the correct ones",just memory,based on which ones were not asking me questions about why i liked them,Exp1
WAUzY,35,Novice,0,No.,Right,4,Female,Yes,"No, I did not.","No, again, I just with with my gut feeling.",I went with my instincts.,I just went with my gut.,Exp1
WD9mK,25,Novice,1,No I was able to understand everything.,Right,4,Male,Yes,Not really I just tried to recall which earlier pieces had been gains or no gains.,I tried to go with what the buyers would be most fascinated by.,Not really I just tried to build upon what I already saw and knew from earlier.,In cases where I couldn't recall if they were gain or no gains I just tried to see if the styles and themes matched better with the ones that sold high or not.,Exp1
WG1Nc,34,Novice,0,"No, it was all clear",Right,4,Male,Yes,"I just tried to find a theme in the art that did better, not sure if it worked",Just which one I liked better,Which one I thought would do better,Just which one I thought looked like other ones that did better,Exp1
WuiSU,29,Novice,0,no,Right,4,Male,Yes,no I didnt,I went with the painting that i liked the most,I went with the painting that was brighter and had the most color,I went with the painting the was brighter and had more color. The seemed to gain more,Exp1
X85Vs,31,Novice,1,"No, everything was clear.",Right,4,Female,Yes,"No, no strategy.","No, I just trusted my gut.",None that I can recall.,I just trusted my gut instinct.,Exp1
XB4yf,34,Enthusiast,1,Everything made sense too me.,Right,4,Male,Yes,What I felt appealed too me then I choose based on what i felt at the time.,I choose what looked best for me.,I did not need a strategy.,From what I remember and another choice was there for me too chose from.,Exp1
Xi1ER,24,Novice,2,Nothing.,Right,4,Other,Yes,"I'm not sure if it was before or after, but I made sure to choose ones that had a gain, and not choose ones that had no gain. Other that than I just picked whichever I remember seeing that I thought would sell for more.","Not really any type of strategy, but I just thought about which one I thought would be more relatable or unique to the average audience.","Same as the final decisions phase, I think I just chose whichever had gained in the first, and made sure to not to choose what didn't gained.","I tried to think a bit about what their \match\ was in the first auction, and I would choose which ones either gained or didn't gained compared to their respective other painting. ",Exp1
XikH0,28,Enthusiast,10,no,Right,4,Male,Yes,no,type of painting,no,guessing,Exp1
Y7B2z,25,Novice,0,No.,Right,4,Female,Yes,I relied on paintings I knew were a gain and which were no gain and then used a process of elimination to find which paintings may also be potential gainers.,"No, not really. I just relied on which paintings I thought were the best.","No, not really. Again, I relied on the paintings I believed that would sell and sometimes what I think the majority of people would like.","As explained before, I heavily relied on the paintings I knew the auction outcomes for and then over the pairings, I used a process of elimination to narrow down which paintings may have been profitable at a auction based on how other pairings were.",Exp1
YBmNX,28,Enthusiast,2,no,Right,4,Female,Yes,Just giving a reason to myself why the painting didn't gain.,"No, Only instinct and if I liked the painting. ",Same as the first,If they were previously paired with one that I knew did gain. ,Exp1
YDhLg,31,Novice,1,no,Right,4,Male,Yes,no,no,no,guess,Exp1
YQYvJ,30,Enthusiast,2,,Left,4,Female,Yes,Was trying to pick the paintings that I recalled having a gain. ,I just picked the painting that seemed to be more complex in colors and textures,"same as the first, trying to recall which painting had a gain","For those, I just picked the painting that I preferred.",Exp1
YUOBu,28,Novice,1,No.,Right,4,Male,Yes,No. I just went with my gut.,I had no particular strategy.,No.,I just went with my gut on what I thought was right. They might have been a gain or no gain for all I know.,Exp1
YreFG,34,Enthusiast,3,Not at all.  It was very clear. ,Right,4,Male,Yes,It really varied between selection choices.  Really I just tried to used what I thought spoke to me and my personal preferences.  Sometimes the technique looked more technical on some so I chose that one.  Ultimately it was based off a gut feeling. ,Just the feeling I got based on first impressions when looking at the pictures. perhaps if the brush work looked more complex or the colors blended in a unique way I would gravitate towards that one. ,Picking the ones I remembered where profitable and making sure not to select the ones I knew were not profitable. That was the only strategy. ,"Mostly a gut feeling.  Which one spoke to me more than the other.  The time limit made it a bit more difficult but usually the choice, even if it was not profitable, was pretty easy to make. ",Exp1
YuIsp,29,Novice,1,I found nothing unclear.,Left,4,Male,Yes,"I decided to pick the ones I knew were valuable, as well as ones that I wasn't too sure of if they were paired with one that I knew would do poorly.",I chose which ones I preferred.,I mostly went with my original strategy of picking the ones I liked.,I just went with my gut and chose the one I liked more.,Exp1
Yupqr,32,Enthusiast,1,No,Right,4,Female,No,No.,I went with what I had decided I personally liked in terms of coloring and subject matter.,I used the same strategy that I used in the first auction.,I went with my gut decision based on context similarity with those paintings that had profitable auction outcomes: similar coloring and subject. ,Exp1
YzYzg,31,Enthusiast,0,Nothing was unclear,Right,4,Female,Yes,No I didn't use a strategy at all,No strategy,No strategy,I chose what I liked personally.,Exp1
ZGrrY,34,Novice,1,No.,Right,4,Male,Yes,I just tried to remember all of the details as best as possible.,Just based it off of my own personal visual preferences.  ,Based it off of my own personal art preferences.  ,Tried to do it all from memory. ,Exp1
ZO1tD,24,Novice,5,no ,Right,4,Female,Yes,memory,no just by my preference,memory,based on previous results,Exp1
ZP2L7,31,Artist,4,yes,Right,4,Female,Yes,no,no,no,best guess based on similarity to paintings shown to have profit,Exp1
Zmm8Y,31,Enthusiast,2,No.,Right,4,Male,Yes,"No, I did not.",I made decisions based on how good the paintings looked to me.,I tried to use the ones confirmed as \gain\ or \no gain\ as an anchor point to determine the values of the other ones.,I made a guess.,Exp1
Zsjsu,34,Novice,.5,"No, everything was clear ",Left,4,Male,Yes,No strategy used ,No,No,My gut feeling,Exp1
Zvw9M,22,Artist,4,Nope,Right,4,Male,Yes,"Not really, just picked what I felt like.","Nope, again, gut feeling.",Nope.,Just my gut feeling.,Exp1
azNOu,35,Novice,2,no,Right,4,Male,Yes,No strategy used. Just was being as honest and truthful as possible,no strategy used,"The second time around, i based most of my choices on whether or not the subject painted was looking at you or away from you.",I went for the piece i had not seen yet.,Exp1
bTadY,29,Novice,0,No,Right,4,Male,Yes,"Not really, just tried to pay attention. ",None just memory. ,"Not really, just tried to remember what had gains. ","I just decided that if they weren't shown, I would put no gain and not much confidence. ",Exp1
bYAJA,26,Novice,0,No.,Right,4,Female,Yes,"There was no strategy really, I was just going off of memory and trusting my energy. I had a lot of practice so it wasn't anything I had to premeditate.","That was completely me trusting my intuition, no concrete strategy.",No.,Oh? I assumed my memory was failing me and that I should've known the outcomes. I went with the choices I thought made sense compared to what I knew was true. Most of the \winning\ paintings shared commonalities .,Exp1
bZl8p,33,Enthusiast,2,none,Right,4,Male,Yes,just tried to remmber details about each,none,none,just tried to use my memory,Exp1
bcrdM,27,Artist,1,no,Right,4,Male,Yes,no,no,no,if i like it better,Exp1
bvf1h,21,Novice,0,no,Right,4,Female,Yes,no,no,no,guessed,Exp1
cXusF,33,Enthusiast,1,No,Left,4,Female,Yes,No strategy used. Just tried to pay close attention.,"No, I just picked what I was drawn to.",No,I tried to pick styles similar to what sold in the prior phase.,Exp1
chg18,35,Novice,0.5,No.,Right,4,Female,Yes,"I tried to pick the paintings that I had previously learned had sold for a profit. In pairing where I did not know if one of the paintings had sold for a profit, I tried to pick one that had similar features to one or more of the others that I knew had sold for a profit before.","I mainly tried to pick paintings that were appealing, eye-catching, made me think a little, and that I could imagine someone wanting to own.",I tried to focus more on what buyers would like and less on my own personal taste.,I tried to choose paintings that had characteristics similar to other paintings that had sold for a profit.,Exp1
d3y2u,25,Enthusiast,2,The intact/recombined section was somewhat confusing but I think I figured it out,Right,4,Female,Yes,I just tried to remember and go with my gut instinct,I tried to recall what I had learned about painting and painting styles,I used the same strategy as the first auction,I chose the ones that gained in auction and the opposite painting if they did not gain in auction,Exp1
d4piR,21,Enthusiast,1,The entire experiment is pretty confusing because there are so many phases.,Right,4,Male,Yes,"I just tried to remember which one I liked, how expensive they were, and the pairings.",Not really.,Nope.,I just tried my best to remember.,Exp1
dE8xe,23,Novice,1,No,Right,4,Male,Yes,If they were based on female looking people I went for those,Just what I liked best,What I prefered,I just went with what I was feeeling at the time,Exp1
dExMt,24,Enthusiast,3,No,Left,4,Female,Yes,No,No,No,,Exp1
dM2RK,31,Enthusiast,3,no,Left,4,Male,Yes,,,,,Exp1
dQsUX,25,Novice,2,no,Right,4,Female,Yes,just remembering the pictures,just basing on the quality of the art,no,if they were similar to ones that had value,Exp1
dbLtw,27,Artist,5,No,Right,4,Female,Yes,At the end I tried to remember which pieces sold for a gain and chose accordingly.,I simply chose the paintings with the most broad appeal.,I chose the paintings that seemed to have the most broad appeal as well as value.,I would see what the contrasting painting was paired with overtime and make a decision based on that in hopes that accuracy would improve each round.,Exp1
dcK4U,24,Artist,12,No,Right,4,Female,Yes,No i Just picked what I thought would be worth more ,NO i did not,NO,I just picked the picture I liked the most,Exp1
dkXZA,29,Art-historian,10,None,Right,4,Male,Yes,"I tried to remember which painting earned a gain and also tried to remember the respective painting with which it was paired. If a painting experienced a loss, I tried to remember which one it was paired with, assuming that that painting would have experienced a gain.","I used my powers of intuition, and also tried to find the paintings that seemed most technically accomplished, assuming that these would sell for more.","I used the same strategy as the first phase, relying on a combination of intuition and technical virtuosity.","In those pairs, I mostly relied on instinct.",Exp1
eKQrN,30,Novice,0,No,Right,4,Female,No,Just trying to recall which ones that I picked had a gain vs the ones that did not.,Just picked the ones that I liked better,I picked the ones that I liked better,"Depending on what I learned from the other paintings--if they look similar, I picked the option where the gain/loss result goes with the other painting",Exp1
eTH5N,29,Novice,0,Nothing was unclear.,Right,4,Male,Yes,I did not use any particular strategy. ,I did not use any particular strategy. ,I did not use any particular strategy. ,I went for darker broodier paintings most of the time. ,Exp1
eUiZV,34,Novice,0,none,Right,4,Female,Yes,Tried to tie a story with the painting.,none ,I tried to remember the ones I chose before.,I picked which one I enjoyed the most,Exp1
eaffU,35,Novice,10,No.,Right,4,Female,Yes,No.,Yes.,No.,It depended on what I liked.,Exp1
emDOP,33,Novice,<1,I don't think so.,Right,4,Female,Yes,I tried to remember the red and green boxes around the art pieces to select more green ones.,"I tried to, but I think some personal taste also came through when I had no social trigger to use to make my choice.",Same as previous.,I went based on my original judgements. ,Exp1
eoyry,28,Novice,0,No,Right,4,Male,Yes,More detail would be higher value.,Which ones i liked the best in general.,No,Same as before,Exp1
ex14o,34,Novice,NONE,no,Right,4,Female,Yes,just what I liked to look at,the ones that would look better in my house,personal preferance,The one I liked more,Exp1
f5fOg,20,Artist,15,Not really?,Right,4,Other,Yes,"I tried to choose the painting I remembered as having gain when present, and then just chose based on preference. I thought I should maybe choose paintings that had been paired with \no gain\ paintings I had chosen, but I decided that was overthinking things. I assumed that the study always had some gain and some no gain, so choosing that way would backfire.","Preference, fame, and style. If something was emotive and well made, I tended towards it. In toss-ups, I went with ones similar to famous works.",I used the same approach as the previous phase.,"Preference and pattern. If it looked similar to one I knew had gain, or had been one I liked but had not chosen, I went with it. I would've wanted a better strategy but ADHD limited me and it took a lot just to focus for the whole time.",Exp1
fHLbG,35,Enthusiast,2,No.,Left,4,Male,Yes,Just tried to remember all of what I saw previously.,Which one I liked more.,Same.,From the gains I saw before.,Exp1
fUhQd,27,Novice,1,None,Right,4,Male,Yes,I went with what I thought might be considered valuable based on unique characteristics of the paintings,I looked for elements in the paintings that could be high valued and picked the one with more of those elements. ,I used the same one that I used in the first auction,I determined which ones could be considered more unique regardless of whether I've seen them before,Exp1
fiT6h,30,Enthusiast,0,No,Right,4,Female,Yes,No I just did my best to remember. ,I  just chose what I personally liked better. ,No,If there was one I was sure of I went with it. ,Exp1
fvvnd,27,Artist,2,"No you were very clear, but I am usually a bit anxious and so found myself having to reread instructions several times because I was so worried about making a mistake I couldn't process the words.",Right,4,Female,Yes,"I associated some features with a memory or an association. Like there was a smiling woman on a couch with curly hair, I remembered it did not gain so I thought of a story when I worked in a retail about a woman who would curl up dollar bills from her register and hide the bills in her hair, so I tried to remember the painting woman didn't gain and thought to myself now she'll need to hide bills in her curls. There was another painting of a black gentleman sitting in a chair and it gained, his background was green so I associated that with green money. There was another painting of a woman with green eyeshadow, so I associated that with money. There was another painting of a woman who did not gain and I thought the shadows on her face made her look like a villain, so I thought to myself she's poor so she's going to turn to crime, so that helped me remember she did not gain.","Things with more detail, higher contrast, more textures. I tried to decide what looked like it had more time in it, and when I couldn't choose I would make up stories in my head of what I thought the people were like, and I would choose the person I liked the most.","Mainly going with my gut, looking at texture and colors.","Just pure panic honestly, going with my gut. I tended to choose what looked like it maybe had more texture or took more time.",Exp1
g2BrC,32,Novice,1,No,Right,4,Female,Yes,"I did not, I went with my gut",I tried to think about what would appeal to the mostt people,Appeal to most people,I tried to just go with what I felt.,Exp1
g3juW,32,Novice,1,Nope,Left,4,Male,Yes,Nothing really since I have no expertise. I did focus on how detailed the paintings were.,Details and if I recognized the type of painting,None,Random,Exp1
gKaBb,28,Novice,0,None,Right,4,Male,Yes,NA,No,No,I went with my intuition.,Exp1
gRBxs,28,Novice,10,"On the final two pages before the task, the directions stated \Press N to begin\, but then an additional page appeared that also said to \Press N to begin\. I did not understand why there was a repeat instead of leaving one more page with the Next and Previous button style navigation. I do not believe this impacted my performance, but it stood out as odd. ",Left,4,Male,Yes,"I tried to keep my personal preferences out of the decision since the goal was only for profit. But I found this strategy to be confusing because I do not have a clue where to begin when evaluating a piece of art to determine the worth. I first tried to consider a target audience for the item as if I could possibly lure them to the auction and secondly, I tried to identify elements that are unsettling or possible perceived as undesirable in general so as to not preclude the random sampling of people who might be at the auction. I have a very low confidence that this strategy was more effective in performance than a 50/50 random choice. ","I found that I was more prone to select paintings where the subject was not making eye contact. I do not know if this was because it made me feel uneasy or if I had a displeasure with the vanity of the artist in their decision to direct the attention of the viewer. Most often, I just went with whatever looked like the type of art that people with a large checkbook are often attracted to. ",I placed a higher value on my gut feeling than any reasoned decision. I found the outcomes of the first auction reinforced a belief that I did not have a strategy for objective estimations. ,"I tried to form a working memory of the group of paintings that I had a known outcome from, then I tried to form a mental group of the paintings that they were paired with. Then, and I do not know why, I continued with a belief that the pairings were more likely than not, to have a balanced outcome. That is, if one painting was not profitable, then the alternative option must have been profitable. Thus, if my selection was not profitable, then my alternative choice must have been profitable. With this,  I then attempted to extrapolate a pattern of profitable  pairs, or pairings that a clear winner could be guessed. For example, the lady with two kids on chairs paired with the homeless man outside sleeping near a fire. I concluded that a picture of a family unit was more profitable than a single man. From here, I applied what assumptions I decided to accept as truths to the unknown paintings and essentially made my best guess. ",Exp1
gZWBF,19,Enthusiast,2,No,Right,4,Female,No,I tried to remember as much as I could on which paintings had gain and no gain.,"Not really, I just went on to choose the ones I liked the most.",Tried to go for a style that I knew would bring Gain.,I based it on the styles of the paintings that had gain and no gain,Exp1
gcn7Z,31,Enthusiast,2,"no, everything was pretty clear",Right,4,Female,Yes,I just picked the ones I found appealing and hoped it would work out.,no I did not.,no,"I picked the ones I liked better, that I thought would appeal to people more.",Exp1
gv4vw,25,Novice,2,the instructions were clear but the whole study would be easier if the blocks were numbered consecutively or if there was a progress bar. ,Right,4,Female,Yes,i used no strategy i just tried my best to remember.,i choose the ones that  i thought i would want to buy.,i used no strategy i choose the ones i liked best.,i choose the one i felt represented the best.,Exp1
hCz5j,30,Enthusiast,2,"Nothing, I thought it was a well set up task.",Right,4,Male,Yes,"I was trying to use what I liked most as my final decision, as I thought it was no more than a gut decision on each painting.",I just choose which paintings I liked best as I hoped those would yield gains.,"I tried to implement what I used in the first auction, and then improve upon that.","I always tried to pick paintings that I knew were gains, and then I would try to pick the same ones if I hadn't seen them before and I knew or thought the other was not a gain.",Exp1
hHfPx,30,Novice,0,No nothing was unclear.,Right,4,Female,Yes,"It was really hard, since I don't know very much about art if it was two paintings I was unsure of I tried to go with my gut feeling so no real strategy.",I just went with the painting I enjoyed the most.,I tried to choose different sets of paintings unless I felt certain that one was better than the other.,I went with the painting I liked the most or felt most closely resembled a painting that had gained in the past.,Exp1
